airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,he_ident
03OI,60,60,CONC,0,0,H1,
03OK,1200,50,TURF,0,0,18,36
03OR,2950,60,CONC,0,0,7,25
03PA,130,80,ASPH,0,0,H1,
03PN,100,100,TURF,0,0,H1,
03PR,2926,65,Turf,0,0,9,27
03PS,675,90,TURF-G,0,0,14,32
03PS,925,90,TURF-G,0,0,16,34
03PS,1130,90,TURF-G,0,0,18,36
03S,2115,100,TURF-G,0,0,8,26
03SC,40,40,CONC,1,0,H1,
03TE,3500,100,TURF,0,0,12,30
03TN,20,20,TURF,0,0,H1,
03TS,90,90,ASPH,0,0,H1,
03TX,150,150,TURF,0,0,H1,
03UT,5000,35,GRAVEL,0,0,NE,SW
03UT,3250,35,GRAVEL,0,0,NW,SE
03WA,2800,60,GRAVEL,0,0,18,36
03WI,1500,60,TURF,0,0,N,S
03WN,2000,70,GRVL,0,0,7,25
03XS,3200,50,TURF-DIRT,0,0,4,22
03XS,1600,50,TURF,0,0,15,33
04AA,1300,100,Turf,0,0,16,34
04AA,825,68,Turf,0,0,5,23
04AL,100,100,ASPH,0,0,H1,
04AR,40,40,ASPH,1,0,H1,
04CA,5000,150,ASPH,0,0,8,26
04CL,1900,100,GRVL-DIRT,0,0,8,26
04CT,50,100,TURF,0,0,H1,
04F,2400,20,ASP,0,1,15,33
04FA,2620,212,TURF,0,0,9,27
04FL,3000,100,TURF,0,0,9,27
04I,2382,120,TURF-G,1,0,6,24
04IA,2310,84,TURF-G,0,0,18,36
04ID,3000,25,DIRT-F,0,0,7,25
04II,1372,72,TURF,0,0,18,36
04IL,1700,70,TURF,0,0,N,S
04IN,4000,1000,WATER,0,0,13W,31W
04IS,2200,150,TURF,0,0,9,27
04KS,400,60,TURF-GRVL,0,0,H1,
04KY,1700,30,ASPH,0,0,15,33
04LA,40,40,CONC,1,0,H1,
04LL,3700,70,TURF,0,0,9,27
04LS,60,60,CONC-G,0,0,H1,
04MA,2100,300,TURF,0,0,16,34
04MD,50,50,ASPH,1,0,H1,
04ME,1950,120,TURF,0,0,15,33
04MI,2000,100,TURF-G,0,0,18,36
04MN,2500,150,TURF,0,0,10,28
04MO,2600,150,TURF,0,0,18,36
04MS,3400,100,ASPH-TURF,0,0,17,35
04MT,2100,100,TURF,0,0,E,W
04MT,1900,100,TURF,0,0,N,S
04NC,91,35,ASPH,0,0,H1,
04NE,2500,100,TURF,0,0,N,S
04NJ,3500,50,TURF,1,0,8,26
04NV,3240,45,ASPH,1,0,2,20
04NY,5200,50,TURF,0,0,2,20
04OG,50,100,CONC,0,0,H1,
04OH,2200,70,TURF,0,0,N,S
04OK,45,45,CONC,0,0,H1,
04PA,100,100,CONC,0,0,H1,
04PN,70,70,CONC,0,0,H1,
04SC,50,50,CONC,0,0,H1,
04SD,46,46,CON,0,0,H1,H1
04TA,60,40,CONC,0,0,H1,
04TE,30,30,TURF,0,0,H1,
04TN,3000,50,ASPH,0,0,1,19
04TS,20,20,TURF,0,0,H1,
04TX,2000,50,TURF,0,0,12,30
04UT,3700,50,DIRT,0,0,4,22
04V,7745,55,GRVL-G,0,0,10,28
04VA,50,50,CONC,1,0,H1,
04VG,3500,80,TURF-F,0,0,1,19
04VG,1800,70,TURF-F,0,0,11,29
04VT,1300,40,TURF,0,0,6,24
04W,2751,75,ASPH-G,1,0,6,24
04WA,1800,60,TURF,0,0,N,S
04WI,1800,100,TURF,0,0,9,27
04WN,4100,60,ASPH,0,0,11,29
04WV,40,40,CONC,0,0,H1,
04XS,80,60,ASPH,0,0,H1,
05AK,2000,75,TURF-GRVL,0,0,1,19
05AL,1600,50,ASPH,0,0,H1,
05AL,1600,50,ASPH,0,0,H2,
05AL,1600,50,ASPH,0,0,H3,
05AL,1600,50,ASPH,0,0,H4,
05AL,1600,50,ASPH,0,0,H5,
05AL,1600,50,ASPH,0,0,H6,
05AR,2000,100,TURF,0,0,6,24
05AZ,40,40,CONC,0,0,H1,
05B,4000,200,WATER,0,0,NW,SE
05CA,78,78,CONC-G,0,0,H1,
05CL,3700,60,ASPH-G,1,0,10,28
05CO,2650,60,TURF,0,0,18,36
05CT,50,50,ASPH,0,0,H1,
05FA,2950,100,TURF,0,0,8,26
05FD,95,95,TURF,0,0,H1,
05FL,3200,60,TURF,0,0,9,27
05FL,1600,50,TURF,0,0,15,33
05GA,2200,60,ASPH,0,0,18,36
05IA,2450,65,TURF-P,0,0,9,27
05ID,2000,70,TURF-GRVL,0,0,3,21
05II,1800,100,TURF,0,0,9,27
05IL,3200,70,TURF,0,0,10,28
05IN,2000,100,TURF,0,0,8,26
05IS,2000,100,TURF,0,0,9,27
05KS,2350,50,TURF,0,0,17,35
05KY,1270,150,TURF,0,0,2,20
05LA,2200,70,TURF,0,0,18,36
05LL,120,120,ASPH,0,0,H1,
05LS,2300,100,TURF,0,0,2,20
05MA,100,40,ASPH,0,0,H1,
05MD,2700,80,TURF,0,0,18,36
05ME,900,40,TURF,0,0,E,W
05MO,30,30,CONC-G,0,0,H1,
05MS,40,40,CONC,1,0,H1,
05NC,40,40,CONC,1,0,H1,
05NE,3210,80,TURF,0,0,15,33
05NH,100,100,TURF,0,0,H1,
05NJ,60,60,CONC,1,0,H1,
05NY,75,75,ASPH-CONC-G,0,0,H1,
05OI,2000,100,TURF,0,0,9,27
05OK,2200,90,TURF,0,0,17,35
05OR,2600,50,TURF,0,0,11,29
05OR,75,75,TURF,0,0,H1,
05PA,70,70,ASPH,0,0,H1,
05PN,120,120,ASPH,0,0,H1,
05PS,2319,100,TURF,0,0,6,24
05S,2940,45,TURF-G,0,0,9,27
05TA,1700,40,TURF-G,0,0,17,35
05TE,1500,50,TURF,0,0,15,33
05TS,1700,90,TURF,0,0,17,35
05TX,2075,50,TURF,0,0,15,33
05UT,3950,50,ASPH-P,0,0,14,32
05V,6160,52,DIRT-G,0,0,3,21
05VA,2000,40,TURF,0,0,18,36
05VT,80,80,CONC,0,0,H1,
05WA,40,40,CONC,0,0,H1,
05WI,1800,60,TURF,0,0,E,W
05WN,1700,50,TURF-GRVL,0,0,9,27
05XS,2600,100,TURF,0,0,1,19
05Y,3280,200,TURF-G,1,0,17,35
06AK,2000,40,GRVL,0,0,2,20
06AL,1600,75,ASPH,0,0,H1,
06AL,1600,75,ASPH,0,0,H2,
